# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2022-11-12 16:15:49 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 10194200 CLEAR CREEK ABOVE DIVERSIONS, NEAR SEVIER, UT
# -----------------------------------------------------------------------------------
#
# Data provided for site 10194200
#            TS   parameter     statistic     Description
#        143798       00060     00003     Discharge, cubic feet per second (Mean)
#        237564       00065     00003     Gage height, feet (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	143798_00060_00003	143798_00060_00003_cd	237564_00065_00003	237564_00065_00003_cd
USGS	10194200	2011-03-16	49.4	A	2.01	A
USGS	10194200	2011-03-17	66.5	A	2.22	A
USGS	10194200	2011-03-18	50.8	A	2.02	A
USGS	10194200	2011-03-19	50.9	A	2.04	A
USGS	10194200	2011-03-20	44.3	A	1.90	A
USGS	10194200	2011-03-21	41.2	A	1.83	A
USGS	10194200	2011-03-22	37.3	A	1.75	A
USGS	10194200	2011-03-23	34.6	A	1.70	A
USGS	10194200	2011-03-24	36.1	A	1.73	A
USGS	10194200	2011-03-25	34.9	A	1.70	A
USGS	10194200	2011-03-26	32.4	A	1.65	A
USGS	10194200	2011-03-27	32.7	A	1.66	A
USGS	10194200	2011-03-28	33.0	A	1.66	A
USGS	10194200	2011-03-29	32.2	A	1.65	A
USGS	10194200	2011-03-30	33.2	A	1.67	A
USGS	10194200	2011-03-31	42.1	A	1.84	A
USGS	10194200	2011-04-01	63.1	A	2.18	A
USGS	10194200	2011-04-02	104	A	2.52	A
USGS	10194200	2011-04-03	128	A	2.66	A
USGS	10194200	2011-04-04	93.4	A	2.35	A
USGS	10194200	2011-04-05	96.2	A	2.36	A
USGS	10194200	2011-04-06	118	A	2.56	A
USGS	10194200	2011-04-07	109	A	2.47	A
USGS	10194200	2011-04-08	110	A	2.46	A
USGS	10194200	2011-04-09	101	A	2.38	A
USGS	10194200	2011-04-10	91.7	A	2.28	A
USGS	10194200	2011-04-11	84.7	A	2.20	A
USGS	10194200	2011-04-12	99.1	A	2.33	A
USGS	10194200	2011-04-13	113	A	2.45	A
USGS	10194200	2011-04-14	123	A	2.51	A
USGS	10194200	2011-04-15	121	A	2.49	A
USGS	10194200	2011-04-16	124	A	2.50	A
USGS	10194200	2011-04-17	146	A	2.66	A
USGS	10194200	2011-04-18	192	A	2.95	A
USGS	10194200	2011-04-19	232	A	3.16	A
USGS	10194200	2011-04-20	211	A	3.05	A
USGS	10194200	2011-04-21	268	A	3.29	A
USGS	10194200	2011-04-22	220	A	3.08	A
USGS	10194200	2011-04-23	197	A	2.94	A
USGS	10194200	2011-04-24	180	A	2.82	A
USGS	10194200	2011-04-25	173	A	2.77	A
USGS	10194200	2011-04-26	183	A	2.83	A
USGS	10194200	2011-04-27	164	A	2.69	A
USGS	10194200	2011-04-28	161	A	2.66	A
USGS	10194200	2011-04-29	165	A	2.68	A
USGS	10194200	2011-04-30	158	A	2.63	A
USGS	10194200	2011-05-01	148	A	2.54	A
USGS	10194200	2011-05-02	138	A	2.46	A
USGS	10194200	2011-05-03	145	A	2.50	A
USGS	10194200	2011-05-04	170	A	2.67	A
USGS	10194200	2011-05-05	197	A	2.82	A
USGS	10194200	2011-05-06	234	A	3.02	A
USGS	10194200	2011-05-07	306	A	3.35	A
USGS	10194200	2011-05-08	366	A	3.59	A
USGS	10194200	2011-05-09	359	A	3.56	A
USGS	10194200	2011-05-10	297	A	3.30	A
USGS	10194200	2011-05-11	273	A	3.19	A
USGS	10194200	2011-05-12	250	A	3.07	A
USGS	10194200	2011-05-13	235	A	3.00	A
USGS	10194200	2011-05-14	260	A	3.13	A
USGS	10194200	2011-05-15	293	A	3.28	A
USGS	10194200	2011-05-16	319	A	3.40	A
USGS	10194200	2011-05-17	290	A	3.27	A
USGS	10194200	2011-05-18	286	A	3.25	A
USGS	10194200	2011-05-19	271	A	3.18	A
USGS	10194200	2011-05-20	295	A	3.28	A
USGS	10194200	2011-05-21	345	A	3.50	A
USGS	10194200	2011-05-22	343	A	3.50	A
USGS	10194200	2011-05-23	380	A	3.65	A
USGS	10194200	2011-05-24	362	A	3.57	A
USGS	10194200	2011-05-25	318	A	3.39	A
USGS	10194200	2011-05-26	314	A	3.38	A
USGS	10194200	2011-05-27	341	A	3.49	A
USGS	10194200	2011-05-28	381	A	3.65	A
USGS	10194200	2011-05-29	405	A	3.74	A
USGS	10194200	2011-05-30	358	A	3.56	A
USGS	10194200	2011-05-31	299	A	3.31	A
USGS	10194200	2011-06-01	276	A	3.20	A
USGS	10194200	2011-06-02	260	A	3.12	A
USGS	10194200	2011-06-03	264	A	3.14	A
USGS	10194200	2011-06-04	259	A	3.12	A
USGS	10194200	2011-06-05	273	A	3.19	A
USGS	10194200	2011-06-06	323	A	3.41	A
USGS	10194200	2011-06-07	319	A	3.39	A
USGS	10194200	2011-06-08	297	A	3.30	A
USGS	10194200	2011-06-09	275	A	3.20	A
USGS	10194200	2011-06-10	274	A	3.19	A
USGS	10194200	2011-06-11	287	A	3.25	A
USGS	10194200	2011-06-12	285	A	3.24	A
USGS	10194200	2011-06-13	262	A	3.13	A
USGS	10194200	2011-06-14	252	A	3.08	A
USGS	10194200	2011-06-15	263	A	3.14	A
USGS	10194200	2011-06-16	283	A	3.23	A
USGS	10194200	2011-06-17	257	A	3.11	A
USGS	10194200	2011-06-18	228	A	2.96	A
USGS	10194200	2011-06-19	227	A	2.95	A
USGS	10194200	2011-06-20	208	A	2.85	A
USGS	10194200	2011-06-21	185	A	2.71	A
USGS	10194200	2011-06-22	183	A	2.70	A
USGS	10194200	2011-06-23	191	A	2.75	A
USGS	10194200	2011-06-24	205	A	2.83	A
USGS	10194200	2011-06-25	199	A	2.80	A
USGS	10194200	2011-06-26	189	A	2.73	A
USGS	10194200	2011-06-27	181	A	2.69	A
USGS	10194200	2011-06-28	176	A	2.65	A
USGS	10194200	2011-06-29	185	A	2.71	A
USGS	10194200	2011-06-30	197	A	2.78	A
USGS	10194200	2011-07-01	173	A	2.63	A
USGS	10194200	2011-07-02	160	A	2.55	A
USGS	10194200	2011-07-03	158	A	2.53	A
USGS	10194200	2011-07-04	155	A	2.51	A
USGS	10194200	2011-07-05	150	A	2.48	A
USGS	10194200	2011-07-06	146	A	2.45	A
USGS	10194200	2011-07-07	139	A	2.40	A
USGS	10194200	2011-07-08	149	A	2.47	A
USGS	10194200	2011-07-09	139	A	2.40	A
USGS	10194200	2011-07-10	128	A	2.31	A
USGS	10194200	2011-07-11	121	A	2.26	A
USGS	10194200	2011-07-12	112	A	2.18	A
USGS	10194200	2011-07-13	107	A	2.14	A
USGS	10194200	2011-07-14	101	A	2.08	A
USGS	10194200	2011-07-15	95.2	A	2.03	A
USGS	10194200	2011-07-16	89.8	A	1.97	A
USGS	10194200	2011-07-17	85.9	A	1.93	A
USGS	10194200	2011-07-18	84.5	A	1.92	A
USGS	10194200	2011-07-19	82.9	A	1.90	A
USGS	10194200	2011-07-20	79.6	A	1.87	A
USGS	10194200	2011-07-21	76.2	A	1.83	A
USGS	10194200	2011-07-22	71.3	A	1.77	A
USGS	10194200	2011-07-23	67.1	A	1.72	A
USGS	10194200	2011-07-24	64.2	A	1.69	A
USGS	10194200	2011-07-25	63.3	A	1.68	A
USGS	10194200	2011-07-26	69.5	A	1.75	A
USGS	10194200	2011-07-27	79.2	A	1.85	A
USGS	10194200	2011-07-28	72.7	A	1.79	A
USGS	10194200	2011-07-29	67.6	A	1.73	A
USGS	10194200	2011-07-30	64.9	A	1.69	A
USGS	10194200	2011-07-31	64.5	A	1.69	A
USGS	10194200	2011-08-01	60.4	A	1.64	A
USGS	10194200	2011-08-02	56.0	A	1.58	A
USGS	10194200	2011-08-03	221	A	2.09	A
USGS	10194200	2011-08-04	80.0	A:e	1.81	A
USGS	10194200	2011-08-05	49.0	A:e	1.47	A
USGS	10194200	2011-08-06	47.3	A:e	1.44	A
USGS	10194200	2011-08-07	49.5	A:e	1.46	A
USGS	10194200	2011-08-08	39.8	A:e	1.29	A
USGS	10194200	2011-08-09	36.8	A	1.16	A
USGS	10194200	2011-08-10	35.8	A	1.14	A
USGS	10194200	2011-08-11	35.0	A	1.13	A
USGS	10194200	2011-08-12	34.0	A	1.11	A
USGS	10194200	2011-08-13	33.6	A	1.10	A
USGS	10194200	2011-08-14	33.3	A	1.09	A
USGS	10194200	2011-08-15	32.5	A	1.08	A
USGS	10194200	2011-08-16	31.0	A	1.05	A
USGS	10194200	2011-08-17	30.4	A	1.04	A
USGS	10194200	2011-08-18	30.0	A	1.03	A
USGS	10194200	2011-08-19	29.6	A	1.02	A
USGS	10194200	2011-08-20	29.0	A	1.01	A
USGS	10194200	2011-08-21	29.1	A	1.01	A
USGS	10194200	2011-08-22	28.7	A	1.00	A
USGS	10194200	2011-08-23	27.6	A	0.98	A
USGS	10194200	2011-08-24	28.2	A	0.99	A
USGS	10194200	2011-08-25	32.6	A	1.07	A
USGS	10194200	2011-08-26	29.4	A	1.02	A
USGS	10194200	2011-08-27	28.2	A	0.99	A
USGS	10194200	2011-08-28	34.8	A	1.09	A
USGS	10194200	2011-08-29	31.0	A	1.05	A
USGS	10194200	2011-08-30	28.7	A	1.00	A
USGS	10194200	2011-08-31	26.9	A	0.96	A
USGS	10194200	2011-09-01	26.0	A	0.94	A
USGS	10194200	2011-09-02	25.7	A	0.93	A
USGS	10194200	2011-09-03	25.3	A	0.93	A
USGS	10194200	2011-09-04	25.1	A	0.92	A
USGS	10194200	2011-09-05	24.9	A	0.92	A
USGS	10194200	2011-09-06	25.2	A	0.92	A
USGS	10194200	2011-09-07	24.4	A	0.90	A
USGS	10194200	2011-09-08	23.6	A	0.88	A
USGS	10194200	2011-09-09	24.2	A	0.90	A
USGS	10194200	2011-09-10	25.2	A	0.92	A
USGS	10194200	2011-09-11	25.0	A	0.92	A
USGS	10194200	2011-09-12	25.3	A	0.92	A
USGS	10194200	2011-09-13	24.0	A	0.89	A
USGS	10194200	2011-09-14	28.7	A	0.99	A
USGS	10194200	2011-09-15	27.5	A	0.97	A
USGS	10194200	2011-09-16	30.4	A	1.02	A
USGS	10194200	2011-09-17	44.9	A	1.28	A
USGS	10194200	2011-09-18	29.7	A	1.02	A
USGS	10194200	2011-09-19	28.9	A	1.00	A
USGS	10194200	2011-09-20	35.4	A	1.13	A
USGS	10194200	2011-09-21	36.8	A	1.16	A
USGS	10194200	2011-09-22	37.4	A	1.17	A
USGS	10194200	2011-09-23	36.8	A	1.16	A
USGS	10194200	2011-09-24	36.4	A	1.15	A
USGS	10194200	2011-09-25	36.4	A	1.15	A
USGS	10194200	2011-09-26	36.2	A	1.15	A
USGS	10194200	2011-09-27	35.7	A	1.14	A
USGS	10194200	2011-09-28	35.0	A	1.13	A
USGS	10194200	2011-09-29	34.7	A	1.12	A
USGS	10194200	2011-09-30	34.4	A	1.12	A
USGS	10194200	2011-10-01	35.0	A	1.13	A
USGS	10194200	2011-10-02	34.0	A	1.11	A
USGS	10194200	2011-10-03	34.0	A	1.11	A
USGS	10194200	2011-10-04	26.6	A	0.96	A
USGS	10194200	2011-10-05	25.6	A	0.93	A
USGS	10194200	2011-10-06	39.2	A	1.19	A
USGS	10194200	2011-10-07	28.4	A	0.99	A
USGS	10194200	2011-10-08	27.9	A	0.98	A
USGS	10194200	2011-10-09	27.4	A	0.97	A
USGS	10194200	2011-10-10	27.6	A	0.98	A
USGS	10194200	2011-10-11	28.3	A	0.99	A
USGS	10194200	2011-10-12	29.0	A	1.01	A
USGS	10194200	2011-10-13	29.0	A	1.01	A
USGS	10194200	2011-10-14	29.2	A	1.02	A
USGS	10194200	2011-10-15	29.3	A	1.02	A
USGS	10194200	2011-10-16	29.5	A	1.03	A
USGS	10194200	2011-10-17	29.5	A	1.03	A
USGS	10194200	2011-10-18	29.1	A	1.02	A
USGS	10194200	2011-10-19	28.5	A	1.02	A
USGS	10194200	2011-10-20	28.2	A	1.01	A
USGS	10194200	2011-10-21	27.6	A	1.00	A
USGS	10194200	2011-10-22	26.9	A	0.99	A
USGS	10194200	2011-10-23	26.3	A	0.98	A
USGS	10194200	2011-10-24	26.2	A	0.98	A
USGS	10194200	2011-10-25	26.4	A	0.98	A
USGS	10194200	2011-10-26	29.4	A	1.05	A
USGS	10194200	2011-10-27	25.1	A	0.96	A
USGS	10194200	2011-10-28	25.2	A	0.96	A
USGS	10194200	2011-10-29	25.1	A	0.96	A
USGS	10194200	2011-10-30	24.6	A	0.95	A
USGS	10194200	2011-10-31	24.1	A	0.95	A
USGS	10194200	2011-11-01	24.0	A	0.94	A
USGS	10194200	2011-11-02	22.8	A	0.92	A
USGS	10194200	2011-11-03	22.0	A	0.89	A
USGS	10194200	2011-11-04	23.2	A	0.93	A
USGS	10194200	2011-11-05	23.3	A	0.94	A
USGS	10194200	2011-11-06	21.6	A	0.89	A
USGS	10194200	2011-11-07	23.7	A	0.95	A
USGS	10194200	2011-11-08	22.2	A	0.92	A
USGS	10194200	2011-11-09	18.1	A	0.79	A
USGS	10194200	2011-11-10	20.9	A	0.87	A
USGS	10194200	2011-11-11	22.0	A	0.91	A
USGS	10194200	2011-11-12	21.8	A	0.92	A
USGS	10194200	2011-11-13	21.5	A	0.91	A
USGS	10194200	2011-11-14	21.1	A	0.90	A
USGS	10194200	2011-11-15	20.6	A	0.89	A
USGS	10194200	2011-11-16	19.4	A	0.86	A
USGS	10194200	2011-11-17	18.9	A	0.84	A
USGS	10194200	2011-11-18	19.9	A	0.88	A
USGS	10194200	2011-11-19	19.8	A	0.88	A
USGS	10194200	2011-11-20	19.4	A	0.87	A
USGS	10194200	2011-11-21	19.6	A	0.88	A
USGS	10194200	2011-11-22	19.1	A	0.87	A
USGS	10194200	2011-11-23	18.9	A	0.86	A
USGS	10194200	2011-11-24	18.6	A	0.86	A
USGS	10194200	2011-11-25	18.3	A	0.85	A
USGS	10194200	2011-11-26	16.8	A	0.81	A
USGS	10194200	2011-11-27	16.3	A	0.78	A
USGS	10194200	2011-11-28	17.6	A	0.84	A
USGS	10194200	2011-11-29	17.5	A	0.84	A
USGS	10194200	2011-11-30	17.4	A	0.84	A
USGS	10194200	2011-12-01	17.8	A	0.85	A
USGS	10194200	2011-12-02	17.5	A	0.83	A
USGS	10194200	2011-12-03	17.6	A	0.84	A
USGS	10194200	2011-12-04	14.0	A	0.71	A
USGS	10194200	2011-12-05	14.7	A	0.75	A
USGS	10194200	2011-12-06	7.50	A	0.45	A
USGS	10194200	2011-12-07	9.33	A	0.54	A
USGS	10194200	2011-12-08	11.6	A	0.64	A
USGS	10194200	2011-12-09	12.5	A	0.67	A
USGS	10194200	2011-12-10	12.7	A	0.68	A
USGS	10194200	2011-12-11	13.9	A	0.72	A
USGS	10194200	2011-12-12	15.2	A	0.77	A
USGS	10194200	2011-12-13	17.4	A	0.84	A
USGS	10194200	2011-12-14	18.2	A	0.86	A
USGS	10194200	2011-12-15	15.1	A	0.77	A
USGS	10194200	2011-12-16	14.9	A	0.76	A
USGS	10194200	2011-12-17	13.8	A	0.72	A
USGS	10194200	2011-12-18	15.0	A	0.76	A
USGS	10194200	2011-12-19	17.2	A	0.83	A
USGS	10194200	2011-12-20	16.2	A	0.80	A
USGS	10194200	2011-12-21	14.7	A	0.75	A
USGS	10194200	2011-12-22	15.5	A	0.78	A
USGS	10194200	2011-12-23	11.9	A	0.65	A
USGS	10194200	2011-12-24	12.6	A	0.67	A
USGS	10194200	2011-12-25	13.8	A	0.71	A
USGS	10194200	2011-12-26	15.0	A	0.76	A
USGS	10194200	2011-12-27	15.2	A	0.76	A
USGS	10194200	2011-12-28	15.7	A	0.78	A
USGS	10194200	2011-12-29	18.0	A	0.85	A
USGS	10194200	2011-12-30	18.0	A	0.86	A
USGS	10194200	2011-12-31	17.7	A	0.85	A
USGS	10194200	2012-01-01	14.5	A	0.74	A
USGS	10194200	2012-01-02	15.8	A	0.78	A
USGS	10194200	2012-01-03	17.2	A	0.83	A
USGS	10194200	2012-01-04	16.2	A	0.80	A
USGS	10194200	2012-01-05	16.4	A	0.80	A
USGS	10194200	2012-01-06	16.7	A	0.81	A
USGS	10194200	2012-01-07	16.9	A	0.81	A
USGS	10194200	2012-01-08	15.7	A	0.77	A
USGS	10194200	2012-01-09	15.8	A	0.77	A
USGS	10194200	2012-01-10	14.7	A	0.73	A
USGS	10194200	2012-01-11	16.0	A	0.78	A
USGS	10194200	2012-01-12	11.9	A	0.64	A
USGS	10194200	2012-01-13	11.2	A	0.61	A
USGS	10194200	2012-01-14	13.8	A	0.71	A
USGS	10194200	2012-01-15	17.4	A	0.83	A
USGS	10194200	2012-01-16	16.6	A	0.80	A
USGS	10194200	2012-01-17	11.0	A	0.60	A
USGS	10194200	2012-01-18	18.0	A	0.85	A
USGS	10194200	2012-01-19	19.6	A	0.89	A
USGS	10194200	2012-01-20	17.4	A	0.83	A
USGS	10194200	2012-01-21	19.8	A	0.89	A
USGS	10194200	2012-01-22	18.0	A	0.84	A
USGS	10194200	2012-01-23	17.3	A	0.82	A
USGS	10194200	2012-01-24	16.9	A	0.81	A
USGS	10194200	2012-01-25	16.0	A	0.78	A
USGS	10194200	2012-01-26	16.8	A	0.81	A
USGS	10194200	2012-01-27	17.0	A	0.81	A
USGS	10194200	2012-01-28	10.6	A	0.58	A
USGS	10194200	2012-01-29	14.9	A	0.73	A
USGS	10194200	2012-01-30	17.8	A	0.83	A
USGS	10194200	2012-01-31	16.9	A	0.81	A
USGS	10194200	2012-02-01	16.2	A	0.79	A
USGS	10194200	2012-02-02	16.5	A	0.80	A
USGS	10194200	2012-02-03	16.1	A	0.79	A
USGS	10194200	2012-02-04	14.7	A	0.72	A
USGS	10194200	2012-02-05	14.0	A	0.70	A
USGS	10194200	2012-02-06	15.0	A	0.74	A
USGS	10194200	2012-02-07	13.9	A	0.69	A
