# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-04-05 16:44:20 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09285900 STRAWBERRY RIVER AT PINNACLES NEAR FRUITLAND, UT
# -----------------------------------------------------------------------------------
#
# Data provided for site 09285900
#            TS   parameter     statistic     Description
#        142904       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	142904_00060_00003	142904_00060_00003_cd
USGS	09285900	1990-01-09	40.0	A
USGS	09285900	1990-01-10	39.0	A
USGS	09285900	1990-01-11	38.0	A
USGS	09285900	1990-01-12	38.0	A
USGS	09285900	1990-01-13	37.0	A
USGS	09285900	1990-01-14	37.0	A
USGS	09285900	1990-01-15	37.0	A
USGS	09285900	1990-01-16	36.0	A
USGS	09285900	1990-01-17	36.0	A
USGS	09285900	1990-01-18	36.0	A
USGS	09285900	1990-01-19	38.0	A
USGS	09285900	1990-01-20	36.0	A:e
USGS	09285900	1990-01-21	33.0	A:e
USGS	09285900	1990-01-22	35.0	A:e
USGS	09285900	1990-01-23	37.0	A:e
USGS	09285900	1990-01-24	35.0	A:e
USGS	09285900	1990-01-25	34.0	A:e
USGS	09285900	1990-01-26	31.0	A:e
USGS	09285900	1990-01-27	32.0	A:e
USGS	09285900	1990-01-28	35.0	A:e
USGS	09285900	1990-01-29	37.0	A
USGS	09285900	1990-01-30	37.0	A
USGS	09285900	1990-01-31	40.0	A
USGS	09285900	1990-02-01	37.0	A:e
USGS	09285900	1990-02-02	35.0	A:e
USGS	09285900	1990-02-03	32.0	A:e
USGS	09285900	1990-02-04	34.0	A:e
USGS	09285900	1990-02-05	35.0	A:e
USGS	09285900	1990-02-06	34.0	A:e
USGS	09285900	1990-02-07	35.0	A:e
USGS	09285900	1990-02-08	34.0	A:e
USGS	09285900	1990-02-09	33.0	A:e
USGS	09285900	1990-02-10	33.0	A
USGS	09285900	1990-02-11	31.0	A
USGS	09285900	1990-02-12	29.0	A:e
USGS	09285900	1990-02-13	29.0	A:e
USGS	09285900	1990-02-14	26.0	A:e
USGS	09285900	1990-02-15	22.0	A:e
USGS	09285900	1990-02-16	23.0	A:e
USGS	09285900	1990-02-17	24.0	A:e
USGS	09285900	1990-02-18	26.0	A:e
USGS	09285900	1990-02-19	27.0	A:e
USGS	09285900	1990-02-20	28.0	A:e
USGS	09285900	1990-02-21	28.0	A:e
USGS	09285900	1990-02-22	29.0	A:e
USGS	09285900	1990-02-23	29.0	A:e
USGS	09285900	1990-02-24	30.0	A:e
USGS	09285900	1990-02-25	31.0	A
USGS	09285900	1990-02-26	32.0	A
USGS	09285900	1990-02-27	32.0	A
USGS	09285900	1990-02-28	32.0	A
USGS	09285900	1990-03-01	32.0	A
USGS	09285900	1990-03-02	32.0	A
USGS	09285900	1990-03-03	32.0	A
USGS	09285900	1990-03-04	33.0	A
USGS	09285900	1990-03-05	33.0	A
USGS	09285900	1990-03-06	33.0	A
USGS	09285900	1990-03-07	34.0	A
USGS	09285900	1990-03-08	33.0	A
USGS	09285900	1990-03-09	34.0	A
USGS	09285900	1990-03-10	33.0	A
USGS	09285900	1990-03-11	34.0	A
USGS	09285900	1990-03-12	33.0	A
USGS	09285900	1990-03-13	32.0	A
USGS	09285900	1990-03-14	33.0	A
USGS	09285900	1990-03-15	32.0	A
USGS	09285900	1990-03-16	31.0	A
USGS	09285900	1990-03-17	32.0	A
USGS	09285900	1990-03-18	32.0	A
USGS	09285900	1990-03-19	33.0	A
USGS	09285900	1990-03-20	33.0	A
USGS	09285900	1990-03-21	33.0	A
USGS	09285900	1990-03-22	33.0	A
USGS	09285900	1990-03-23	33.0	A
USGS	09285900	1990-03-24	33.0	A
USGS	09285900	1990-03-25	32.0	A
USGS	09285900	1990-03-26	32.0	A
USGS	09285900	1990-03-27	32.0	A
USGS	09285900	1990-03-28	32.0	A
USGS	09285900	1990-03-29	32.0	A
USGS	09285900	1990-03-30	32.0	A
USGS	09285900	1990-03-31	30.0	A
USGS	09285900	1990-04-01	30.0	A
USGS	09285900	1990-04-02	30.0	A
USGS	09285900	1990-04-03	34.0	A
USGS	09285900	1990-04-04	34.0	A
USGS	09285900	1990-04-05	34.0	A
USGS	09285900	1990-04-06	35.0	A
USGS	09285900	1990-04-07	36.0	A
USGS	09285900	1990-04-08	36.0	A
USGS	09285900	1990-04-09	36.0	A
USGS	09285900	1990-04-10	36.0	A
USGS	09285900	1990-04-11	36.0	A
USGS	09285900	1990-04-12	37.0	A
USGS	09285900	1990-04-13	37.0	A
USGS	09285900	1990-04-14	37.0	A
USGS	09285900	1990-04-15	37.0	A
USGS	09285900	1990-04-16	37.0	A
USGS	09285900	1990-04-17	37.0	A
USGS	09285900	1990-04-18	38.0	A
USGS	09285900	1990-04-19	37.0	A
USGS	09285900	1990-04-20	37.0	A
USGS	09285900	1990-04-21	38.0	A
USGS	09285900	1990-04-22	38.0	A
USGS	09285900	1990-04-23	39.0	A
USGS	09285900	1990-04-24	39.0	A
USGS	09285900	1990-04-25	39.0	A
USGS	09285900	1990-04-26	39.0	A
USGS	09285900	1990-04-27	39.0	A
USGS	09285900	1990-04-28	39.0	A
USGS	09285900	1990-04-29	40.0	A
USGS	09285900	1990-04-30	40.0	A
USGS	09285900	1990-05-01	40.0	A
USGS	09285900	1990-05-02	39.0	A
USGS	09285900	1990-05-03	39.0	A
USGS	09285900	1990-05-04	38.0	A
USGS	09285900	1990-05-05	39.0	A
USGS	09285900	1990-05-06	39.0	A
USGS	09285900	1990-05-07	42.0	A
USGS	09285900	1990-05-08	46.0	A
USGS	09285900	1990-05-09	49.0	A
USGS	09285900	1990-05-10	49.0	A
USGS	09285900	1990-05-11	49.0	A
USGS	09285900	1990-05-12	49.0	A
USGS	09285900	1990-05-13	48.0	A
USGS	09285900	1990-05-14	49.0	A
USGS	09285900	1990-05-15	49.0	A
USGS	09285900	1990-05-16	48.0	A
USGS	09285900	1990-05-17	48.0	A
USGS	09285900	1990-05-18	47.0	A
USGS	09285900	1990-05-19	47.0	A
USGS	09285900	1990-05-20	46.0	A
USGS	09285900	1990-05-21	46.0	A
USGS	09285900	1990-05-22	45.0	A
USGS	09285900	1990-05-23	45.0	A
USGS	09285900	1990-05-24	44.0	A
USGS	09285900	1990-05-25	45.0	A
USGS	09285900	1990-05-26	45.0	A
USGS	09285900	1990-05-27	44.0	A
USGS	09285900	1990-05-28	44.0	A
USGS	09285900	1990-05-29	45.0	A
USGS	09285900	1990-05-30	45.0	A
USGS	09285900	1990-05-31	44.0	A
USGS	09285900	1990-06-01	44.0	A
USGS	09285900	1990-06-02	44.0	A
USGS	09285900	1990-06-03	43.0	A
USGS	09285900	1990-06-04	42.0	A
USGS	09285900	1990-06-05	42.0	A
USGS	09285900	1990-06-06	42.0	A
USGS	09285900	1990-06-07	43.0	A
USGS	09285900	1990-06-08	43.0	A
USGS	09285900	1990-06-09	42.0	A
USGS	09285900	1990-06-10	43.0	A
USGS	09285900	1990-06-11	46.0	A
USGS	09285900	1990-06-12	47.0	A
USGS	09285900	1990-06-13	45.0	A
USGS	09285900	1990-06-14	44.0	A
USGS	09285900	1990-06-15	44.0	A
USGS	09285900	1990-06-16	44.0	A
USGS	09285900	1990-06-17	43.0	A
USGS	09285900	1990-06-18	43.0	A
USGS	09285900	1990-06-19	43.0	A
USGS	09285900	1990-06-20	42.0	A
USGS	09285900	1990-06-21	42.0	A
USGS	09285900	1990-06-22	42.0	A
USGS	09285900	1990-06-23	40.0	A
USGS	09285900	1990-06-24	36.0	A
USGS	09285900	1990-06-25	34.0	A
USGS	09285900	1990-06-26	35.0	A
USGS	09285900	1990-06-27	36.0	A
USGS	09285900	1990-06-28	37.0	A
USGS	09285900	1990-06-29	37.0	A
USGS	09285900	1990-06-30	37.0	A
USGS	09285900	1990-07-01	38.0	A
USGS	09285900	1990-07-02	38.0	A
USGS	09285900	1990-07-03	39.0	A
USGS	09285900	1990-07-04	39.0	A
USGS	09285900	1990-07-05	38.0	A
USGS	09285900	1990-07-06	37.0	A
USGS	09285900	1990-07-07	38.0	A
USGS	09285900	1990-07-08	40.0	A
USGS	09285900	1990-07-09	41.0	A
USGS	09285900	1990-07-10	39.0	A
USGS	09285900	1990-07-11	40.0	A
USGS	09285900	1990-07-12	40.0	A
USGS	09285900	1990-07-13	41.0	A
USGS	09285900	1990-07-14	41.0	A
USGS	09285900	1990-07-15	43.0	A
USGS	09285900	1990-07-16	72.0	A
USGS	09285900	1990-07-17	69.0	A
USGS	09285900	1990-07-18	71.0	A
USGS	09285900	1990-07-19	77.0	A
USGS	09285900	1990-07-20	73.0	A
USGS	09285900	1990-07-21	73.0	A
USGS	09285900	1990-07-22	74.0	A
USGS	09285900	1990-07-23	75.0	A
USGS	09285900	1990-07-24	75.0	A
USGS	09285900	1990-07-25	75.0	A
USGS	09285900	1990-07-26	76.0	A
USGS	09285900	1990-07-27	76.0	A
USGS	09285900	1990-07-28	76.0	A
USGS	09285900	1990-07-29	77.0	A
USGS	09285900	1990-07-30	77.0	A
USGS	09285900	1990-07-31	78.0	A
USGS	09285900	1990-08-01	77.0	A
USGS	09285900	1990-08-02	80.0	A
USGS	09285900	1990-08-03	79.0	A
USGS	09285900	1990-08-04	79.0	A
USGS	09285900	1990-08-05	79.0	A
USGS	09285900	1990-08-06	80.0	A
USGS	09285900	1990-08-07	80.0	A
USGS	09285900	1990-08-08	79.0	A
USGS	09285900	1990-08-09	80.0	A
USGS	09285900	1990-08-10	80.0	A
USGS	09285900	1990-08-11	80.0	A
USGS	09285900	1990-08-12	80.0	A
USGS	09285900	1990-08-13	80.0	A
USGS	09285900	1990-08-14	82.0	A
USGS	09285900	1990-08-15	83.0	A
USGS	09285900	1990-08-16	86.0	A
USGS	09285900	1990-08-17	87.0	A
USGS	09285900	1990-08-18	85.0	A
USGS	09285900	1990-08-19	83.0	A
USGS	09285900	1990-08-20	44.0	A
USGS	09285900	1990-08-21	40.0	A
USGS	09285900	1990-08-22	37.0	A
USGS	09285900	1990-08-23	39.0	A
USGS	09285900	1990-08-24	40.0	A
USGS	09285900	1990-08-25	39.0	A
USGS	09285900	1990-08-26	38.0	A
USGS	09285900	1990-08-27	36.0	A
USGS	09285900	1990-08-28	34.0	A
USGS	09285900	1990-08-29	34.0	A
USGS	09285900	1990-08-30	35.0	A
USGS	09285900	1990-08-31	35.0	A
USGS	09285900	1990-09-01	35.0	A
USGS	09285900	1990-09-02	36.0	A
USGS	09285900	1990-09-03	35.0	A
USGS	09285900	1990-09-04	36.0	A
USGS	09285900	1990-09-05	36.0	A
USGS	09285900	1990-09-06	36.0	A
USGS	09285900	1990-09-07	34.0	A
USGS	09285900	1990-09-08	34.0	A
USGS	09285900	1990-09-09	33.0	A
USGS	09285900	1990-09-10	33.0	A
USGS	09285900	1990-09-11	33.0	A
USGS	09285900	1990-09-12	38.0	A
USGS	09285900	1990-09-13	68.0	A
USGS	09285900	1990-09-14	70.0	A
USGS	09285900	1990-09-15	76.0	A
USGS	09285900	1990-09-16	81.0	A
USGS	09285900	1990-09-17	80.0	A
USGS	09285900	1990-09-18	81.0	A
USGS	09285900	1990-09-19	84.0	A
USGS	09285900	1990-09-20	85.0	A
USGS	09285900	1990-09-21	84.0	A
USGS	09285900	1990-09-22	85.0	A
USGS	09285900	1990-09-23	83.0	A
USGS	09285900	1990-09-24	85.0	A
USGS	09285900	1990-09-25	87.0	A
USGS	09285900	1990-09-26	87.0	A
USGS	09285900	1990-09-27	87.0	A
USGS	09285900	1990-09-28	88.0	A
USGS	09285900	1990-09-29	87.0	A
USGS	09285900	1990-09-30	87.0	A
USGS	09285900	1990-10-01	87.0	A
USGS	09285900	1990-10-02	88.0	A
USGS	09285900	1990-10-03	89.0	A
USGS	09285900	1990-10-04	89.0	A
USGS	09285900	1990-10-05	89.0	A
USGS	09285900	1990-10-06	89.0	A
USGS	09285900	1990-10-07	90.0	A
USGS	09285900	1990-10-08	89.0	A
USGS	09285900	1990-10-09	90.0	A
USGS	09285900	1990-10-10	90.0	A
USGS	09285900	1990-10-11	88.0	A
USGS	09285900	1990-10-12	89.0	A
USGS	09285900	1990-10-13	90.0	A
USGS	09285900	1990-10-14	52.0	A
USGS	09285900	1990-10-15	45.0	A
USGS	09285900	1990-10-16	43.0	A
USGS	09285900	1990-10-17	42.0	A
USGS	09285900	1990-10-18	42.0	A
USGS	09285900	1990-10-19	44.0	A
USGS	09285900	1990-10-20	40.0	A
USGS	09285900	1990-10-21	41.0	A
USGS	09285900	1990-10-22	42.0	A
USGS	09285900	1990-10-23	40.0	A
USGS	09285900	1990-10-24	40.0	A
USGS	09285900	1990-10-25	40.0	A
USGS	09285900	1990-10-26	39.0	A
USGS	09285900	1990-10-27	39.0	A
USGS	09285900	1990-10-28	38.0	A
USGS	09285900	1990-10-29	38.0	A
USGS	09285900	1990-10-30	38.0	A
USGS	09285900	1990-10-31	37.0	A
USGS	09285900	1990-11-01	37.0	A
USGS	09285900	1990-11-02	36.0	A
USGS	09285900	1990-11-03	36.0	A
USGS	09285900	1990-11-04	36.0	A
USGS	09285900	1990-11-05	36.0	A
USGS	09285900	1990-11-06	33.0	A
USGS	09285900	1990-11-07	34.0	A
USGS	09285900	1990-11-08	34.0	A
USGS	09285900	1990-11-09	34.0	A
USGS	09285900	1990-11-10	34.0	A
USGS	09285900	1990-11-11	34.0	A
USGS	09285900	1990-11-12	34.0	A
USGS	09285900	1990-11-13	34.0	A
USGS	09285900	1990-11-14	33.0	A
USGS	09285900	1990-11-15	33.0	A
USGS	09285900	1990-11-16	33.0	A
USGS	09285900	1990-11-17	33.0	A
USGS	09285900	1990-11-18	33.0	A
USGS	09285900	1990-11-19	33.0	A
USGS	09285900	1990-11-20	34.0	A
USGS	09285900	1990-11-21	34.0	A
USGS	09285900	1990-11-22	34.0	A
USGS	09285900	1990-11-23	34.0	A
USGS	09285900	1990-11-24	34.0	A
USGS	09285900	1990-11-25	34.0	A
USGS	09285900	1990-11-26	34.0	A
USGS	09285900	1990-11-27	33.0	A
USGS	09285900	1990-11-28	30.0	A:e
USGS	09285900	1990-11-29	28.0	A:e
USGS	09285900	1990-11-30	29.0	A:e
USGS	09285900	1990-12-01	30.0	A
USGS	09285900	1990-12-02	31.0	A
USGS	09285900	1990-12-03	29.0	A
USGS	09285900	1990-12-04	29.0	A
USGS	09285900	1990-12-05	32.0	A
USGS	09285900	1990-12-06	30.0	A
USGS	09285900	1990-12-07	28.0	A
USGS	09285900	1990-12-08	29.0	A
USGS	09285900	1990-12-09	32.0	A
USGS	09285900	1990-12-10	34.0	A
USGS	09285900	1990-12-11	35.0	A
USGS	09285900	1990-12-12	34.0	A:e
USGS	09285900	1990-12-13	33.0	A:e
USGS	09285900	1990-12-14	30.0	A:e
USGS	09285900	1990-12-15	27.0	A:e
USGS	09285900	1990-12-16	32.0	A
USGS	09285900	1990-12-17	30.0	A:e
USGS	09285900	1990-12-18	30.0	A
USGS	09285900	1990-12-19	32.0	A:e
USGS	09285900	1990-12-20	29.0	A:e
USGS	09285900	1990-12-21	26.0	A:e
USGS	09285900	1990-12-22	25.0	A:e
USGS	09285900	1990-12-23	25.0	A:e
USGS	09285900	1990-12-24	27.0	A:e
USGS	09285900	1990-12-25	29.0	A:e
USGS	09285900	1990-12-26	29.0	A:e
USGS	09285900	1990-12-27	28.0	A:e
USGS	09285900	1990-12-28	28.0	A:e
USGS	09285900	1990-12-29	28.0	A:e
USGS	09285900	1990-12-30	27.0	A:e
USGS	09285900	1990-12-31	28.0	A:e
USGS	09285900	1991-01-01	28.0	A:e
USGS	09285900	1991-01-02	28.0	A:e
USGS	09285900	1991-01-03	29.0	A:e
USGS	09285900	1991-01-04	29.0	A:e
USGS	09285900	1991-01-05	29.0	A:e
USGS	09285900	1991-01-06	30.0	A:e
USGS	09285900	1991-01-07	30.0	A:e
USGS	09285900	1991-01-08	29.0	A:e
USGS	09285900	1991-01-09	28.0	A:e
USGS	09285900	1991-01-10	28.0	A
USGS	09285900	1991-01-11	26.0	A:e
USGS	09285900	1991-01-12	25.0	A:e
USGS	09285900	1991-01-13	26.0	A
USGS	09285900	1991-01-14	26.0	A
USGS	09285900	1991-01-15	26.0	A
USGS	09285900	1991-01-16	25.0	A
USGS	09285900	1991-01-17	24.0	A:e
USGS	09285900	1991-01-18	25.0	A:e
USGS	09285900	1991-01-19	27.0	A:e
USGS	09285900	1991-01-20	25.0	A:e
USGS	09285900	1991-01-21	26.0	A:e
USGS	09285900	1991-01-22	27.0	A:e
USGS	09285900	1991-01-23	28.0	A:e
USGS	09285900	1991-01-24	30.0	A:e
USGS	09285900	1991-01-25	30.0	A:e
USGS	09285900	1991-01-26	29.0	A:e
USGS	09285900	1991-01-27	28.0	A:e
USGS	09285900	1991-01-28	26.0	A:e
USGS	09285900	1991-01-29	26.0	A:e
USGS	09285900	1991-01-30	28.0	A:e
USGS	09285900	1991-01-31	29.0	A:e
USGS	09285900	1991-02-01	27.0	A:e
USGS	09285900	1991-02-02	31.0	A:e
USGS	09285900	1991-02-03	30.0	A:e
USGS	09285900	1991-02-04	33.0	A
USGS	09285900	1991-02-05	32.0	A:e
USGS	09285900	1991-02-06	32.0	A
USGS	09285900	1991-02-07	32.0	A
USGS	09285900	1991-02-08	31.0	A
USGS	09285900	1991-02-09	30.0	A
USGS	09285900	1991-02-10	30.0	A
USGS	09285900	1991-02-11	29.0	A
USGS	09285900	1991-02-12	29.0	A
USGS	09285900	1991-02-13	29.0	A
USGS	09285900	1991-02-14	30.0	A
USGS	09285900	1991-02-15	31.0	A
USGS	09285900	1991-02-16	32.0	A
USGS	09285900	1991-02-17	33.0	A
USGS	09285900	1991-02-18	34.0	A
USGS	09285900	1991-02-19	36.0	A
USGS	09285900	1991-02-20	38.0	A
USGS	09285900	1991-02-21	39.0	A
USGS	09285900	1991-02-22	36.0	A
USGS	09285900	1991-02-23	36.0	A
USGS	09285900	1991-02-24	36.0	A
USGS	09285900	1991-02-25	36.0	A
USGS	09285900	1991-02-26	37.0	A
USGS	09285900	1991-02-27	34.0	A
USGS	09285900	1991-02-28	34.0	A
USGS	09285900	1991-03-01	33.0	A
USGS	09285900	1991-03-02	34.0	A
USGS	09285900	1991-03-03	34.0	A
USGS	09285900	1991-03-04	34.0	A
USGS	09285900	1991-03-05	37.0	A
USGS	09285900	1991-03-06	35.0	A
USGS	09285900	1991-03-07	36.0	A
USGS	09285900	1991-03-08	35.0	A
USGS	09285900	1991-03-09	35.0	A
USGS	09285900	1991-03-10	36.0	A
USGS	09285900	1991-03-11	36.0	A
USGS	09285900	1991-03-12	35.0	A
USGS	09285900	1991-03-13	34.0	A
USGS	09285900	1991-03-14	35.0	A
USGS	09285900	1991-03-15	34.0	A
USGS	09285900	1991-03-16	33.0	A
USGS	09285900	1991-03-17	34.0	A
USGS	09285900	1991-03-18	34.0	A
USGS	09285900	1991-03-19	34.0	A
USGS	09285900	1991-03-20	34.0	A
USGS	09285900	1991-03-21	34.0	A
USGS	09285900	1991-03-22	34.0	A
USGS	09285900	1991-03-23	35.0	A
USGS	09285900	1991-03-24	35.0	A
USGS	09285900	1991-03-25	34.0	A
USGS	09285900	1991-03-26	34.0	A
USGS	09285900	1991-03-27	34.0	A
USGS	09285900	1991-03-28	33.0	A
USGS	09285900	1991-03-29	34.0	A
USGS	09285900	1991-03-30	34.0	A
USGS	09285900	1991-03-31	33.0	A
USGS	09285900	1991-04-01	33.0	A
USGS	09285900	1991-04-02	35.0	A
USGS	09285900	1991-04-03	34.0	A
USGS	09285900	1991-04-04	33.0	A
USGS	09285900	1991-04-05	33.0	A
USGS	09285900	1991-04-06	34.0	A
USGS	09285900	1991-04-07	34.0	A
USGS	09285900	1991-04-08	33.0	A
USGS	09285900	1991-04-09	33.0	A
USGS	09285900	1991-04-10	33.0	A
USGS	09285900	1991-04-11	33.0	A
USGS	09285900	1991-04-12	33.0	A
USGS	09285900	1991-04-13	34.0	A
USGS	09285900	1991-04-14	34.0	A
USGS	09285900	1991-04-15	34.0	A
USGS	09285900	1991-04-16	34.0	A
USGS	09285900	1991-04-17	34.0	A
USGS	09285900	1991-04-18	34.0	A
USGS	09285900	1991-04-19	34.0	A
USGS	09285900	1991-04-20	35.0	A
USGS	09285900	1991-04-21	35.0	A
USGS	09285900	1991-04-22	35.0	A
USGS	09285900	1991-04-23	35.0	A
USGS	09285900	1991-04-24	38.0	A
USGS	09285900	1991-04-25	40.0	A
USGS	09285900	1991-04-26	41.0	A
USGS	09285900	1991-04-27	41.0	A
USGS	09285900	1991-04-28	42.0	A
USGS	09285900	1991-04-29	42.0	A
USGS	09285900	1991-04-30	42.0	A
USGS	09285900	1991-05-01	42.0	A
USGS	09285900	1991-05-02	42.0	A
USGS	09285900	1991-05-03	42.0	A
USGS	09285900	1991-05-04	43.0	A
USGS	09285900	1991-05-05	43.0	A
USGS	09285900	1991-05-06	43.0	A
USGS	09285900	1991-05-07	42.0	A
USGS	09285900	1991-05-08	42.0	A
USGS	09285900	1991-05-09	42.0	A
USGS	09285900	1991-05-10	42.0	A
USGS	09285900	1991-05-11	43.0	A
USGS	09285900	1991-05-12	43.0	A
USGS	09285900	1991-05-13	43.0	A
USGS	09285900	1991-05-14	43.0	A
USGS	09285900	1991-05-15	43.0	A
USGS	09285900	1991-05-16	42.0	A
USGS	09285900	1991-05-17	42.0	A
USGS	09285900	1991-05-18	42.0	A
USGS	09285900	1991-05-19	42.0	A
USGS	09285900	1991-05-20	44.0	A
USGS	09285900	1991-05-21	51.0	A
USGS	09285900	1991-05-22	58.0	A
USGS	09285900	1991-05-23	63.0	A
USGS	09285900	1991-05-24	69.0	A
USGS	09285900	1991-05-25	75.0	A
USGS	09285900	1991-05-26	78.0	A
